segment,value,rows,failure_rate,false_negative_rate,false_positive_rate
inspection_group,Canvass,3547,0.26896,0.37421,0.54531
inspection_group,Complaint,1177,0.39592,0.13305,0.69339
inspection_group,License,1277,0.24354,0.25402,0.70497
inspection_group,Other,10,0.00000,0.00000,0.50000
inspection_group,Re-inspection,1984,0.10887,0.91204,0.05317
risk_group,Risk 1,6601,0.24330,0.36862,0.42603
risk_group,Risk 2,907,0.25910,0.30213,0.48958
risk_group,Risk 3,485,0.21649,0.30476,0.60263
risk_group,Unknown,2,0.50000,0.00000,1.00000
has_history,False,1127,0.27862,0.13694,0.81673
has_history,True,6868,0.23777,0.39927,0.38644
