inspection_id,license_,facility_type,risk,zip,inspection_date,inspection_type,results,latitude,longitude
2546081,2723872,Grocery Store,Risk 2 (Medium),60605,2022-01-04T00:00:00.000,Canvass,Pass,41.87501057316559,-87.627474631035
2546082,2215650,Daycare (2 - 6 Years),Risk 1 (High),60610,2022-01-04T00:00:00.000,License,Fail,41.899021699577446,-87.62892425348232
2546084,2813666,Restaurant,Risk 1 (High),60618,2022-01-04T00:00:00.000,License,Fail,41.96127134510051,-87.71046266805209
2546085,2822699,Children's Services Facility,Risk 1 (High),60639,2022-01-04T00:00:00.000,License,Fail,41.93159332989326,-87.75032101904218
2546086,2364202,Daycare Above and Under 2 Years,Risk 1 (High),60649,2022-01-04T00:00:00.000,License,Fail,41.770009419938006,-87.56709303658094
2546087,2823180,Restaurant,Risk 1 (High),60611,2022-01-04T00:00:00.000,License,Pass,41.89019627869941,-87.62673545281827
2546088,2823181,Restaurant,Risk 1 (High),60611,2022-01-04T00:00:00.000,License,Pass,41.89019627869941,-87.62673545281827
2546089,1904661,Restaurant,Risk 1 (High),60610,2022-01-04T00:00:00.000,Canvass,Pass,41.88926952817214,-87.62973533104446
2546090,3596,Restaurant,Risk 1 (High),60613,2022-01-04T00:00:00.000,Complaint,Pass,41.95436836115346,-87.65522418220391
2546092,1379914,Restaurant,Risk 1 (High),60647,2022-01-04T00:00:00.000,Canvass,Fail,41.9100178857574,-87.72447840284197
2546094,2813313,Mobile Food Preparer,Risk 2 (Medium),60612,2022-01-04T00:00:00.000,License,Fail,41.88390509704504,-87.70605925083947
2546095,2595954,Daycare Combo 1586,Risk 1 (High),60636,2022-01-04T00:00:00.000,Canvass,Fail,41.78741253524762,-87.68400312578896
2546096,2559448,SUPPORTIVE LIVING,Risk 1 (High),60619,2022-01-04T00:00:00.000,Canvass,Fail,41.76430277851535,-87.59109571691616
2546099,1678035,Grocery Store,Risk 1 (High),60646,2022-01-04T00:00:00.000,Canvass,Pass,41.990494771830264,-87.74847741422931
2546100,2827284,Restaurant,Risk 1 (High),60641,2022-01-04T00:00:00.000,License,Pass,41.94614611486697,-87.72754094319556
2546101,2813104,Restaurant,Risk 1 (High),60636,2022-01-04T00:00:00.000,License,Pass,41.78006898552003,-87.66408861696442
2546102,2770955,Restaurant,Risk 1 (High),60622,2022-01-04T00:00:00.000,Canvass,Pass,41.89758036350436,-87.66718641217582
2546104,10559,Restaurant,Risk 1 (High),60642,2022-01-04T00:00:00.000,Canvass,Fail,41.90324286545451,-87.66706204782344
2546106,2522179,Bakery,Risk 1 (High),60660,2022-01-04T00:00:00.000,Canvass,Fail,41.98373915183195,-87.65964672940271
2546107,1898472,Restaurant,Risk 1 (High),60646,2022-01-04T00:00:00.000,Canvass,Pass,41.990494771830264,-87.74847741422931
2546108,2803835,Restaurant,Risk 1 (High),60604,2022-01-04T00:00:00.000,Canvass,Fail,41.87739693703613,-87.62751493171092
2546110,2412170,Restaurant,Risk 1 (High),60625,2022-01-04T00:00:00.000,Canvass,Pass,41.96873484733724,-87.71719002946986
2546112,2658672,Restaurant,Risk 1 (High),60611,2022-01-04T00:00:00.000,Canvass,Pass,41.8898747912625,-87.62425976144404
2546114,1573944,Restaurant,Risk 1 (High),60622,2022-01-04T00:00:00.000,Canvass,Pass,41.905131758861906,-87.66768922073551
2546116,2807982,Restaurant,Risk 1 (High),60649,2022-01-04T00:00:00.000,License Re-Inspection,Pass,41.75171043268834,-87.5764686289653
2546117,32939,Restaurant,Risk 1 (High),60654,2022-01-04T00:00:00.000,Canvass,Pass,41.89198922796648,-87.63393057860532
2546118,1543762,Restaurant,Risk 1 (High),60607,2022-01-04T00:00:00.000,Complaint,Pass,41.86919159569781,-87.66401334265312
2546119,2823020,Restaurant,Risk 1 (High),60641,2022-01-04T00:00:00.000,License,Pass,41.93710698410429,-87.72698208255794
2546121,16712,Grocery & Restaurant,Risk 1 (High),60609,2022-01-04T00:00:00.000,Canvass,Pass,41.81056567737924,-87.66517051690172
2546122,2433064,Restaurant,Risk 1 (High),60607,2022-01-04T00:00:00.000,Complaint,Fail,41.869855596598576,-87.64027030786521
2546123,2688790,Restaurant,Risk 1 (High),60614,2022-01-04T00:00:00.000,Complaint,Fail,41.93299009129136,-87.64086756860948
2546125,2827356,Restaurant,Risk 1 (High),60604,2022-01-04T00:00:00.000,License,Fail,41.87739693703613,-87.62751493171092
2546127,2437279,Restaurant,Risk 1 (High),60661,2022-01-04T00:00:00.000,Canvass,Fail,41.87880137816326,-87.64741620290556
2546129,19267,Restaurant,Risk 1 (High),60660,2022-01-04T00:00:00.000,Canvass,Fail,41.98373476698546,-87.65988782352466
2546157,2109251,Grocery Store,Risk 2 (Medium),60644,2022-01-04T00:00:00.000,Complaint,Pass,41.88004498075895,-87.77049337933958
2546180,2369187,Children's Services Facility,Risk 1 (High),60644,2022-01-04T00:00:00.000,License,Pass,41.88555252759883,-87.74531277707483
2546138,50484,Restaurant,Risk 1 (High),60646,2022-01-05T00:00:00.000,Canvass,Pass,41.98376846724376,-87.7661756872335
2546140,26521,School,Risk 1 (High),60621,2022-01-05T00:00:00.000,Canvass,Pass,41.758926687108456,-87.64925339921011
2546141,2738694,Restaurant,Risk 1 (High),60609,2022-01-05T00:00:00.000,Complaint,Fail,41.808780247267606,-87.65995685711123
2546142,2670284,Restaurant,Risk 1 (High),60608,2022-01-05T00:00:00.000,Canvass,Pass,41.85199480423206,-87.68031324904591
2546143,2670285,Restaurant,Risk 1 (High),60608,2022-01-05T00:00:00.000,License,Pass,41.85199480423206,-87.68031324904591
2546146,2589855,Restaurant,Risk 1 (High),60618,2022-01-05T00:00:00.000,Canvass,Fail,41.961127512862454,-87.72223919023664
2546147,2488682,Restaurant,Risk 2 (Medium),60612,2022-01-05T00:00:00.000,Complaint,Pass,41.886649246847924,-87.67766942610925
2546150,2374667,Grocery Store,Risk 2 (Medium),60628,2022-01-05T00:00:00.000,Complaint,Fail,41.69954741466738,-87.64275191512002
2546151,1142451,Grocery Store,Risk 1 (High),60605,2022-01-05T00:00:00.000,Canvass,Pass,41.86672435405559,-87.62596114837754
2546154,1474028,Grocery Store,Risk 2 (Medium),60647,2022-01-05T00:00:00.000,Short Form Complaint,Fail,41.91735854510604,-87.69934106867798
2546155,2411894,Restaurant,Risk 1 (High),60617,2022-01-05T00:00:00.000,Canvass,Pass,41.70265064291392,-87.54337388866821
2546156,2405950,Restaurant,Risk 1 (High),60622,2022-01-05T00:00:00.000,Complaint,Pass,41.903221562685445,-87.66848595723334
2546159,2823244,Grocery Store,Risk 3 (Low),60659,2022-01-05T00:00:00.000,License,Pass,41.997565216290326,-87.68758542129004
2546160,2818395,Children's Services Facility,Risk 1 (High),60643,2022-01-05T00:00:00.000,License,Fail,41.70670933007148,-87.67081386117727
2546162,24891,School,Risk 1 (High),60660,2022-01-05T00:00:00.000,Canvass,Pass,41.98342818917878,-87.66586537292214
2546166,1647557,Restaurant,Risk 1 (High),60654,2022-01-05T00:00:00.000,Canvass,Fail,41.887920731996346,-87.63235953008895
2546167,2665146,Restaurant,Risk 1 (High),60647,2022-01-05T00:00:00.000,Canvass,Pass,41.912691923355744,-87.69720455176802
2546169,2658892,Restaurant,Risk 2 (Medium),60659,2022-01-05T00:00:00.000,Canvass,Pass,41.995704951379196,-87.68996400149155
2546170,2827301,Restaurant,Risk 1 (High),60629,2022-01-05T00:00:00.000,License,Fail,41.76429990022238,-87.70069889807027
2546171,2522465,Restaurant,Risk 1 (High),60646,2022-01-05T00:00:00.000,Canvass,Pass,41.99644717759783,-87.78720723090356
2546174,2452439,Restaurant,Risk 1 (High),60660,2022-01-05T00:00:00.000,Canvass,Pass,41.9862308107723,-87.67454136310121
2546177,1516497,Grocery(Sushi prep),Risk 1 (High),60605,2022-01-05T00:00:00.000,Canvass,Pass,41.86672435405559,-87.62596114837754
2546178,2684303,Children's Services Facility,Risk 1 (High),60609,2022-01-05T00:00:00.000,License,Pass,41.83020702073215,-87.68169307295167
2546179,2437482,Restaurant,Risk 2 (Medium),60605,2022-01-05T00:00:00.000,Canvass,Pass,41.86753862662266,-87.6262084807218
2546182,2757138,Restaurant,Risk 1 (High),60629,2022-01-05T00:00:00.000,Canvass,Fail,41.7608061174595,-87.70251735250555
2546221,1122193,Restaurant,Risk 1 (High),60601,2022-01-05T00:00:00.000,Canvass,Pass,41.88720776765347,-87.62469337443704
2546183,2229462,Daycare Above and Under 2 Years,Risk 1 (High),60614,2022-01-06T00:00:00.000,Canvass,Pass,41.93018914881091,-87.6684683252167
2546185,2198339,Restaurant,Risk 1 (High),60608,2022-01-06T00:00:00.000,Canvass,Pass,41.8370868237626,-87.66558285253427
2546186,2823099,Restaurant,Risk 1 (High),60610,2022-01-06T00:00:00.000,License,Pass,41.89655847960636,-87.62885920239039
2546188,1913925,Restaurant,Risk 1 (High),60614,2022-01-06T00:00:00.000,Canvass,Pass,41.93252953939086,-87.6537938531344
2546189,2823101,Restaurant,Risk 1 (High),60610,2022-01-06T00:00:00.000,License,Pass,41.89655847960636,-87.62885920239039
2546190,2823344,Restaurant,Risk 1 (High),60610,2022-01-06T00:00:00.000,License,Pass,41.89655847960636,-87.62885920239039
2546191,2622405,Restaurant,Risk 1 (High),60622,2022-01-06T00:00:00.000,Complaint,Fail,41.90485662426528,-87.66859020422658
